,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1204,Leishmania,0.5160099838,0.3462220254,0.5756222445,0.2541535553,0.1794942534,0.0622528019,0.3205948959,0.1608054991,0.1537592444,0.1091974539,0.2810693339,0.0972368968,0.1452544851,0.0411811173,0.0371834932
1205,Leisingera,0,0,0.1279160543,0,0,0,0,0.1286443993,0.3075184888,0,0,0,0,0,0
1206,Leminorella,0,0,0,0,0,0,0,0,0,0.0727983027,0,0,0,0,0.0371834932
1207,Lentibacillus,0.086001664,1.6445546203,0.7674963262,2.7956891085,3.4552643785,0,0.881635964,1.1256384943,1.2300739552,1.4559660534,0.4216040009,0.5348029328,3.2319122943,5.4770885971,12.3821032282
1208,Lentibacter,0,0,0,0,0,0.1245056038,0,0,0,0,0,0,0,0,0
1209,Lentimicrobium,0,0.4327775316,0.1918740815,0.2033228443,0.4038620703,0,0,0.0964832995,0.1921990555,0.3275923621,0,0.0486184484,0,0,0.0743669864
1210,Lentinula,0,0,0,0.1016614221,0,0,0,0,0,0,0,0,0,0,0
1211,Lentisphaera,0.086001664,0,0.0639580272,0.0508307111,0,0,0,0.1608054992,0.0768796222,0,0,0,0,0.0411811173,0
1212,Lentzea,0.172003328,0.0865555064,0.1918740815,0.3558149775,0.2243678168,0.4357696133,0.120223086,0.6110608968,0.1537592444,0.109197454,0.093689778,0.1458553453,0.0726272426,0.0411811173,0.0743669864
1213,Lepidodinium,0,0.2163887658,1.0233284346,0.2541535553,0.1794942534,0,0.4808923438,0.385933198,0.4612777332,0.109197454,0.187379556,0.2917106906,0.2178817277,0.0411811173,0.3346514386
1214,Lepidopterella,0.9460183035,2.726498449,5.1166421728,3.7614726185,0.4487356336,0.684780821,0.2404461719,0.7075441964,0.2690786777,0,0.4684488899,0.7778951751,0.1815681064,0.2882678209,0.3718349318
1215,Leptolinea,7.6541480926,10.5164940171,18.6117859039,24.5004027316,14.7185287796,2.5523648779,6.7725671758,5.3709036727,6.9960456202,6.879439604,5.3403173444,7.4872410602,14.4528212709,17.5843370752,17.9968106976
1216,Leptolyngbya,2.0640399352,4.2412198098,3.6456075483,2.8465198195,4.1732413923,1.4318144437,3.526543855,5.0492926745,3.2289441324,2.9483312585,1.2648120028,1.5071719015,1.3799176088,1.81196916,3.1234134276
1217,Leptomonas,0,0.0865555063,0.1279160543,0,0,0,0,0,0,0,0,0,0,0,0
1218,Leptonema,0.5160099838,0.8655550633,0.8314543531,1.7282441761,0.628229887,0.3735168114,0.5610410678,0.9326718953,1.2300739552,0.6551847242,0.4684488898,0.3403291391,0.254195349,0.2470867036,0.8180368499
1219,Leptosphaeria,0,0.2596665189,0.1279160543,0,0.0448735634,0,0.080148724,0,0.0384398111,0.0363991513,0,0,0.0726272426,0.0823622345,0
1220,Leptospira,1.0320199676,2.1206099049,1.0233284347,1.1691063545,1.9744367879,0.622528019,2.1640155475,2.1547936892,2.0373099883,1.0919745401,0.6558284459,0.3403291391,0.617331562,1.4001579872,1.9707251386
1221,Leptospirillum,1.8060349433,3.4189424995,3.2618593854,3.6089804853,4.2629885189,0.5602752171,1.3625283079,3.730687581,5.0740550651,3.7491125882,1.2179671138,1.3613165562,1.9972491708,2.71795374,3.7555328112
1222,Leptothrix,0.9460183036,0.0865555063,0.8954123803,1.0166142212,2.1539310409,0.1867584057,0,0.4824164975,0.8072360331,0.4367898161,0,0.2917106907,0.0726272426,0.2059055864,2.6028445225
1223,Leptotrichia,0,0.2163887658,0.1279160543,0.2033228442,0.0897471267,0.3112640095,0.4408179819,1.0613162946,0.6150369776,0.5095881188,0.140534667,0.2917106907,0.5810179405,0.0823622345,0.2602844523
1224,Leucoagaricus,0.086001664,0,0,0.1524921332,0.1346206901,0,0.040074362,0.2572887987,0.0768796222,0.1819957567,0.093689778,0,0.1452544851,0.1235433518,0
1225,Leucobacter,0.172003328,0.1298332595,0.7674963259,0.6099685328,0.2243678168,0.4980224152,0.8816359638,2.5085657873,1.153194333,0.9463779349,0.4684488899,0.6320398298,0.1815681065,0.7824412281,0.2974679455
1226,Leuconostoc,0.5160099838,0.9953883228,1.151244489,2.1348898646,1.0320919573,0.0622528019,0.240446172,0.6432219966,0.8072360331,0.5095881187,0.046844889,0.6320398296,0.8715269109,1.2766146354,1.7476241794
1227,Leucosporidium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1487339727
