,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Micromonosporales,45496,31894,23344,62220,54447,26407,43256,22730,18881,88991,43177,38054,165315,86167,75049,11019,9604,2487,2351,9714,9038,14162,13707,10969,10679,17352,16342,7561,6472,56986,56175,116752,10138,22867,25937,22340,42836,5133,12645,12418,39453,17250,13450,7075,9384,2227,18632,8907,12699,15611,7933,19,42,6227,8092,9857,3460,8820,4927,11946,6154,9201,5155,5430,520,8122,7397,8815,10231,8310,18600,8623,4916,9655,3903,5700,4675,529,6730,7334,2955,4387,6468,107367,101954,90564,35913,18621,100927,91904,17809,7423,45284,19729,62514,16122,59411,18903,18882,20176,18216,3122,3019,3192
Propionibacteriales,17679,13377,10196,25348,30835,14993,15953,11168,9613,29387,27263,26117,60570,35795,52675,3160,2976,708,717,3468,3112,4862,4510,10090,9639,12863,12186,3701,4360,34980,39249,71774,24757,21670,137916,27813,168920,20413,4493,4618,28995,10878,6094,11493,10646,1555,43354,11990,8955,12474,8794,44,67,6813,8052,11925,5389,6413,8272,13626,13356,17399,10881,7058,645,14947,13544,8079,7709,6213,18063,12618,4808,9597,3076,7532,6866,445,6952,9301,3305,7597,9339,179025,170165,61498,36159,17856,50164,32996,12500,5961,34256,15093,42860,12857,43414,9828,15214,6247,6687,2121,2392,2456
Bacillales,50630,76903,59130,85236,139203,90869,50307,55280,59247,72412,118380,120971,111571,115007,114847,16947,15852,5425,5531,22850,21799,32990,34022,16657,16467,20967,19994,13756,14638,20421,20938,30248,26955,10263,24896,17067,18896,6617,7586,12962,14778,21577,21367,1797,1155,245,3146,1392,1714,1269,1181,6,7,999,1158,2022,683,1271,1718,2836,1571,2507,1898,1039,48,1528,1786,1740,1389,1422,2518,1503,690,1245,1418,1894,992,61,1195,1550,551,1637,1719,159964,157483,9487,7305,4259,7330,7634,13402,1436,8999,4004,6611,5521,15081,3151,3340,3582,3157,5783,5644,5771
Gemmatimonadales,18556,26525,22520,52260,56672,32473,20138,26173,22589,50081,79897,74445,89228,56805,84584,5369,4752,1616,1498,5421,5130,8394,8152,11370,10783,14775,14174,15101,12763,16617,22993,46103,34288,4391,41831,37190,28694,11163,4390,8136,12487,12503,17066,2572,3286,912,4918,3242,1536,2932,2109,14,15,2591,2793,6106,1363,3749,1536,4813,2241,4194,2885,3506,244,3794,4496,7956,5971,4895,7651,5557,2678,4068,2696,3985,3428,318,2812,3248,1539,3773,2642,59857,57132,42737,42688,21873,31829,18647,7779,3489,22591,9469,30641,25010,59006,15171,15776,10861,9532,38803,39162,39481
Frankiales,39448,32841,23069,50821,53024,26199,36125,21719,17708,73244,41311,35479,108580,49863,46901,4249,3768,989,896,6849,6219,8999,8699,6024,5677,7449,7045,6771,5788,8580,6435,10944,5132,20674,17115,21382,41589,5274,3214,3814,6750,4307,7580,1378,1222,249,3675,1686,1466,1447,1604,2,13,1027,1369,1118,536,807,1344,2094,1226,1856,1205,784,76,1351,1349,1626,1192,1405,2420,1207,490,1185,1975,2396,589,62,1500,1309,455,1023,1092,54838,52225,14763,7124,3316,17588,16674,14863,1207,7551,3326,15100,6335,20726,6316,4919,15130,13660,1458,1480,1390
Pseudomonadales,26561,31657,22150,39142,58076,41590,21477,23078,21674,49270,86851,117907,44297,36668,38889,16589,15846,5488,5265,16256,15971,23682,23003,21169,20857,24680,23882,12344,22773,5675,8081,11778,10306,2913,8097,6365,7364,7310,7465,13523,9321,9656,40852,985,842,210,1367,956,488,860,481,0,2,436,530,2537,494,916,506,1646,843,1549,760,731,76,1667,1286,2213,1750,1285,1704,1151,606,1104,1513,2024,1319,83,843,803,547,1229,1134,38537,35400,6318,15013,7455,5075,10037,11566,773,4660,1906,3040,2801,7283,2676,1781,2263,2195,2717,2629,2997
Micrococcales,54646,56400,34430,102809,144640,77152,56987,35987,46705,88621,74091,71210,160320,117360,134973,9736,6474,0,0,11363,7267,18117,17738,18826,20284,22238,21103,25827,10098,42177,34788,55674,17699,82617,110137,56213,103601,12739,6624,6298,37874,15511,17364,10058,9999,1680,34470,10276,8932,14343,8777,17,25,4427,7820,16756,4284,7271,6070,12750,10011,14587,8633,6896,865,15264,13364,12089,8914,8258,18420,10715,3956,10848,3662,7814,8203,417,5180,7529,2726,6778,8943,237213,227051,69548,44424,22281,58093,35461,26620,7158,43567,18618,29556,13655,45068,9521,12878,13850,12270,5090,5036,5004
(Pyrinomonas),6161,16794,12021,25670,41086,15153,8500,12632,12051,22143,42601,32100,116520,81572,90166,1433,1358,345,369,3087,3006,5964,5722,2491,2769,3191,3036,1580,15544,24176,38770,59998,224543,357,19796,7757,33943,4844,3257,5583,10753,11603,4508,901,867,122,1116,836,451,833,490,8,5,875,892,2525,502,1982,461,1645,976,2246,837,1118,40,964,1044,1284,2016,1973,1956,1626,769,1198,1006,1565,1288,122,802,643,484,1141,958,23245,22364,8517,3839,2072,7250,4577,1263,1319,8718,3580,2005,1785,3925,996,1072,823,773,898,890,956
Verrucomicrobiales,45332,30386,21885,45277,42813,25849,28397,24094,16311,58597,58685,36006,68638,57392,48317,33675,30388,10351,9529,32983,30588,50458,50043,26135,25217,30757,30022,18368,25110,3970,7772,9275,17175,0,14672,4633,16212,21442,13682,20590,16041,19152,22432,2632,1474,477,2875,2651,1538,2720,1208,13,2,1378,1938,4697,1224,2862,1310,4731,2741,4921,2509,1522,97,2302,3256,4646,2927,3799,4198,2525,1656,2150,3978,5680,2328,258,2578,2371,1404,2942,2497,116959,113082,12932,11098,5896,7707,6276,2862,1314,8533,3654,8117,5744,23401,5632,5652,4449,4013,4601,4393,4666
Rhodospirillales,57812,45302,27493,35727,78170,25490,42942,37865,13724,102350,72921,26239,56783,36535,21741,100587,90443,31246,29735,66221,62551,106237,101966,86372,83369,107535,102858,18082,30921,34656,30112,66649,9135,0,6472,5476,10804,1756,27498,41694,24402,23446,47140,4776,4346,1157,9412,4484,4037,5030,4190,14,17,3661,3759,7517,2214,4508,3187,8186,4227,6486,3480,3472,259,5618,5693,7008,5364,5076,8593,4922,2791,4755,6740,7924,3835,347,4812,4491,2094,4668,4107,211052,204473,33705,35187,17779,37142,58393,147261,3640,23425,9532,23249,16056,49068,11810,13480,11970,10910,14824,14775,15398
