,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Bradyrhizobium,936637,693205,526577,773918,1258915,619641,677782,623501,365210,1527411,1132643,661380,1169652,905331,697532,519713,474651,157744,152107,303356,286772,529464,518385,446832,435493,536510,518948,367993,447472,28911,52162,68138,20777,5267,20954,8521,20610,9090,287891,453311,202862,176277,323650,21751,17360,4609,48711,21261,24296,27508,20597,119,151,17457,18407,31952,11553,17864,16797,43173,19666,33196,18295,14517,1427,22337,22742,27506,27568,23192,44982,22384,12644,20813,64258,46123,14516,1372,20053,20790,8912,20286,18334,1724385,1688441,39294,34904,17617,35740,39020,23769,3697,24373,10371,30390,17827,51991,14907,14058,8449,7584,11117,11125,11253
Streptomyces,324722,239607,179592,411892,390904,190672,271284,166688,139303,547327,308923,257774,720781,375897,352929,41591,37483,11967,11543,56189,52207,79887,76983,36369,35906,46942,44560,39374,26255,64372,52963,106514,42783,102779,109596,98547,178754,23282,19260,26651,44093,36441,68549,7711,8005,1849,25507,8788,24220,11698,9037,44,38,6295,6875,7388,3410,4482,7528,12520,7570,10130,10520,4470,600,9633,8482,8559,7159,6535,17017,7822,3015,6282,6605,7434,3322,256,6835,8980,2203,5867,5315,154695,148330,59047,30378,15276,66272,69277,40556,4366,27999,11562,59150,22725,77730,18684,18060,55645,48017,7724,7675,8152
Mycobacterium,253575,122644,83772,165283,259081,122178,117741,97830,62264,246953,179175,126052,284835,194683,179142,55387,50660,13041,12638,39675,38173,60653,58339,54577,52888,66591,64724,15892,30973,25494,23697,43612,17175,38232,52707,53197,82245,10062,49276,93664,39764,28224,41483,16519,11576,2160,31210,9641,11079,13494,10751,37,92,8579,8357,14063,5310,6435,13373,28977,15679,21920,16153,7798,751,11584,10816,11144,9619,6934,19466,10685,3570,8611,22437,19640,5922,504,11664,14463,4949,11948,11685,742955,718995,47688,26224,13174,40427,32273,28084,4246,26027,10813,27729,15544,44145,11992,11589,22331,19355,3989,4215,4112
Burkholderia,102046,104767,64357,139035,197729,110605,70544,74575,73348,128016,204736,148822,163530,120159,128755,43664,39442,13934,13574,53413,51825,65471,65179,61433,60055,69668,68156,28933,29483,7707,10946,16393,20001,3088,14445,8191,15314,4421,28397,62963,17894,19689,70109,1783,1255,360,3270,2050,1946,2057,1479,20,7,1181,1533,2774,540,1504,1256,3681,1394,2599,1225,1175,169,1847,2259,3478,2414,2500,3665,1759,1133,2037,3189,3852,1478,143,2083,1609,752,2080,1358,68484,66948,6005,5582,2829,4961,10835,17636,843,6177,2292,8691,8113,20097,4176,4143,5289,4441,7290,7565,8162
Candidatus Solibacter,71231,73910,49246,92440,148346,68150,63983,54276,35448,184868,174323,88954,158693,92877,63490,66813,59654,19454,18644,64440,61061,98253,95653,55512,54285,74258,71979,77908,41636,3040,7790,10231,11842,0,4320,1003,4111,643,16528,24877,14400,14111,122982,1449,1332,729,3950,2466,3551,3284,2206,16,14,2078,3304,2416,1050,2247,1723,4149,1611,3041,1389,1052,158,1500,1882,5065,3201,3414,3518,1943,1531,1886,5568,6691,1148,178,2414,1835,806,2189,1338,112073,108123,6868,5169,2615,5165,3792,4124,613,4250,1816,16501,13089,35526,7462,8784,3970,3564,5489,5450,5671
Candidatus Koribacter,142279,91142,52113,84138,139567,84523,100859,79895,40382,277516,203699,93154,128384,81103,68642,33338,29731,12420,11684,43100,40936,74140,71483,18173,17187,22508,21909,45553,33220,846,1833,2157,5778,0,2001,756,1850,0,6809,24226,4474,5525,104306,368,473,416,1452,869,1343,920,896,5,4,638,1107,628,247,609,685,1276,490,601,341,243,68,495,867,2124,1245,2839,1271,645,812,944,4981,1953,315,57,1691,842,249,909,316,78103,76332,1716,1374,785,1392,2322,8736,445,2891,1273,19388,23612,54653,10817,13340,10418,9662,12295,12284,12837
Sphingomonas,15569,14576,9145,24738,41809,20275,12855,10399,9036,28447,22548,16467,28983,29286,17651,14373,13444,3984,3836,10141,9860,14292,13916,56322,55211,74173,71700,5960,18114,50666,75988,174910,82229,3500,138756,16520,157179,102693,9249,21976,56088,22897,12346,2808,4788,1030,17567,4037,4377,5542,5244,23,19,3141,3426,6967,1665,3297,2815,4255,3341,5920,3967,5483,470,6407,9850,12542,11050,9293,15709,8791,5201,10373,2782,3575,5754,424,5676,6686,2383,5949,2858,57444,56171,48380,20335,10158,24554,16113,15278,6218,39329,16269,6019,3554,13852,3400,6085,1923,1551,2357,2064,2094
Solirubrobacter,34280,34189,23549,61182,64212,19232,31100,27183,17621,24607,36911,34432,87960,73661,67258,2475,2149,780,717,2081,1881,3536,3411,4101,3948,5614,5270,3299,4109,31246,25365,47791,15809,72837,83663,78675,86445,3812,5423,6018,16304,8468,2873,8052,6053,944,16408,5976,4827,5908,4459,14,34,4516,4882,7216,3317,4139,5035,10388,5918,9268,6926,4246,328,6705,7144,3905,4458,3860,9161,6857,3235,5027,2502,5629,3842,337,4489,5334,1683,4412,6662,125976,118088,29192,24659,12317,31288,18406,6479,3719,22642,9625,34580,4608,21641,4792,8198,2051,1810,2358,2241,2408
Rhodoplanes,37839,40535,24423,49744,72593,38236,31200,38113,20475,49310,76681,63753,63000,55715,53201,20603,18886,5981,5696,13282,12760,23834,22809,23844,23818,35068,34076,19359,18775,2842,6596,8817,2065,0,1408,0,0,0,19531,26058,16402,26390,40654,5068,2086,560,6441,3284,2794,3026,2399,26,7,2641,2692,5834,1504,2980,2637,7603,3874,6876,3890,2347,135,3482,4681,4076,3264,3528,5554,4078,2203,2489,7217,9755,2824,279,3861,3665,1916,3972,3953,203156,197730,11007,10323,5400,11923,15272,8037,989,6517,2799,9197,5928,16301,4162,4435,3852,3388,5462,5424,5733
Chthoniobacter,96386,50200,32525,35039,44505,30962,53603,44689,24053,51171,60515,50608,113919,104824,93818,41719,36716,9554,9081,52084,49760,74937,71358,25224,24291,29820,28360,5476,12710,4374,6900,8908,9821,0,25826,5547,28666,7344,11708,12532,21352,17694,4412,894,692,246,1117,862,503,1201,479,4,13,481,731,1407,360,820,524,1558,904,1610,862,718,56,870,1258,1571,1358,1630,1585,893,612,868,1728,2242,917,73,1000,831,507,898,1000,95040,92671,4490,2759,1348,2461,1369,658,372,2486,997,2917,893,3704,1096,1282,468,412,488,484,427
Mesorhizobium,34005,44109,23705,52941,74175,40422,24883,29565,22903,41430,54661,42194,50747,40931,41024,29176,26426,8972,8336,22407,22097,32893,31228,23037,22081,30981,29816,10277,13740,10270,17112,24470,10074,5536,15150,6633,12840,8585,18831,25971,17784,18691,21935,3268,1574,325,5624,2061,2056,2180,1642,3,18,1447,1943,4143,728,1941,1477,4567,2714,4007,3159,1349,102,3338,3448,3389,2282,2261,4179,2268,988,2171,2779,3623,1923,136,1947,2503,1110,2335,2292,114535,111951,22464,16720,8633,19673,17856,9513,1495,9032,3821,7377,7492,17639,4681,4717,3134,2610,3700,3764,3803
Ktedonobacter,86916,57453,35673,121896,70354,37104,111384,55553,25795,264686,103952,36750,203901,55209,19963,4392,3941,1248,1288,25990,24630,39812,39445,1337,1348,1741,1650,11549,2331,6093,2607,4433,2386,866,2616,1707,2294,331,991,2465,1053,1403,16199,171,239,101,998,620,845,436,643,6,3,398,347,261,113,191,203,511,200,244,304,189,25,285,257,630,399,635,855,190,105,217,522,337,88,10,358,497,104,225,103,10091,9934,1625,1507,960,1467,778,675,111,1031,326,3462,3112,4989,1870,1601,1110,920,1500,1356,1574
Actinoplanes,22492,17936,12477,35536,29315,13592,25046,12885,9996,46906,22801,21120,86444,48510,39923,6217,5592,1509,2351,5058,4612,7251,6641,7688,7344,12214,11401,4020,4794,39609,37317,81400,4485,7806,9337,7556,15856,2845,8048,6087,25214,6679,8081,3324,5533,1312,11556,4853,5042,8760,4608,16,18,3907,5353,4753,1757,3689,2796,6569,3479,5548,2556,2958,339,4204,4482,6012,7526,4907,11934,5377,3363,6892,2463,3291,2488,322,4154,4493,1420,2564,3230,62548,59112,37764,19856,10752,40934,31475,9374,4417,26451,11388,29919,8182,27266,7511,9993,6261,6039,1668,1515,1727
Nocardioides,11548,13377,10196,15965,24152,14993,9564,11168,6922,20076,27263,26117,27019,20515,25920,3160,2976,708,717,3468,3112,4862,4510,10090,9639,12863,12186,3701,3239,20804,25234,40004,15420,10851,94219,15126,93973,16824,3694,3745,16066,5370,4795,7000,6660,801,28866,7669,6127,8291,5858,18,41,4000,5257,8414,3238,3783,4850,7340,8478,11179,6042,4216,418,9349,8521,4793,4853,3826,10393,7771,2946,6291,1609,4588,4623,246,2948,5083,1643,4452,5885,118162,111742,36484,22979,11342,30104,16179,8963,3304,18067,7627,15268,6722,21766,4296,6774,3274,2800,2121,1731,1681
Bacillus,28674,40726,30758,44607,71132,46134,26948,29222,30718,38509,59480,65213,57009,59955,59308,8792,8284,2947,3086,11804,11362,17432,17987,8282,8310,10462,10512,6850,6837,10470,10921,14885,13174,5688,13098,9206,10568,3705,3836,6840,9042,14194,10933,983,631,127,1587,707,1001,606,584,6,5,441,578,883,352,636,878,1488,857,1321,927,559,31,681,800,810,650,672,1197,761,313,626,604,847,503,24,614,718,333,860,1003,119770,117964,5201,3760,2161,4052,3208,3653,654,3598,1644,3007,2474,6781,1519,1456,1385,1270,2585,2430,2455
Gemmatimonas,8472,12799,10437,21864,25070,15246,9038,11798,11118,19889,37149,34634,34426,27864,43431,2986,2563,873,867,3122,2878,4745,4713,5586,5300,7190,6849,6689,6220,6465,10416,16738,17482,3249,19627,24252,14057,6856,2417,4640,5687,6832,9298,1436,1371,384,2310,1538,694,1213,913,10,10,1106,1176,3155,693,1787,748,2565,1140,2199,1553,1490,97,1954,2232,3364,2508,2351,3380,2352,1206,1715,1575,2330,1810,163,1307,1472,730,1982,1490,37125,35281,29387,36018,18578,24279,11943,5886,1972,12507,5331,19746,18503,45972,11270,11591,8989,7804,34138,34382,34696
Frankia,39448,32841,23069,50821,53024,26199,36125,21719,17708,73244,41311,35479,108580,49863,44069,4249,3768,989,896,6849,6219,8999,8699,6024,5677,7449,7045,6771,5788,6534,4801,7001,5132,16532,14105,18637,32202,4611,3214,3814,5882,4307,7580,1208,959,205,3125,1512,1341,1214,1427,2,13,897,1239,969,440,731,1211,1842,1058,1544,1021,649,67,1131,1235,1372,980,1223,2047,930,403,896,1858,2255,484,59,1333,1123,381,1023,970,54838,52225,12006,5411,2430,14510,14378,14063,899,5983,2671,13702,5995,19633,6101,4428,14434,13190,1458,1480,1390
Pseudomonas,24638,29020,20283,36138,53339,38155,19973,21390,19873,41549,67729,47878,40117,32941,32186,15496,14739,5079,4877,15105,14638,21994,21459,19778,19506,22937,22160,10937,21470,4915,7092,10461,8423,2198,6865,5471,6052,6472,6787,12294,8358,8691,39497,907,774,199,1258,894,488,860,481,0,2,436,530,2396,494,848,460,1505,773,1549,760,685,68,1588,1200,2078,1643,1285,1704,1077,554,1020,1380,1865,1241,77,788,731,516,1157,1041,36025,35400,6318,14489,7455,5075,9248,10501,773,4660,1906,3040,2801,7283,2676,1781,2263,2195,2717,2629,2719
Conexibacter,27188,26498,18275,58538,48358,11218,26713,23829,10893,13629,24836,22170,63894,55803,39682,1092,974,0,0,798,747,1326,1278,1839,1723,2692,2600,2752,2744,16417,12723,25560,9906,86503,84525,76906,95606,3205,1844,2393,4969,2792,1807,2157,1550,248,3950,1594,1699,1411,1502,2,17,1108,1333,1228,689,869,1367,2653,1453,2360,1841,1050,70,1264,1406,1192,971,1050,2114,1432,634,1111,1058,1448,605,61,1129,1227,482,1145,1344,62518,58947,13025,10117,5033,13824,10615,4686,1338,8621,3794,5010,1629,4966,1169,1656,857,843,1374,1450,1484
Arthrobacter,17776,37158,19352,49285,80411,43691,24349,21019,25147,28647,45224,42186,57082,48847,66131,2733,0,0,0,3110,3122,4779,4874,0,2585,3488,3437,5922,3027,16341,12342,17946,7521,26484,68349,21285,26862,5379,1488,2293,6238,3433,4784,1302,2160,312,5507,1633,1382,2473,1308,0,0,562,1257,1783,505,710,953,1998,1054,1840,1449,1221,141,2185,1976,1818,1550,1034,2264,1746,296,1392,799,1295,845,39,796,933,375,962,1030,60546,58359,6723,3708,1833,7008,6005,5125,599,3526,1556,5011,3485,8105,1898,2127,2760,2975,1180,1132,1053
Pyrinomonas,6161,16794,12021,25670,41086,15153,8500,12632,12051,22143,42601,32100,116520,81572,90166,1433,1358,345,369,3087,3006,5964,5722,2491,2769,3191,3036,1580,15544,24176,38770,59998,224543,357,19796,7757,33943,4844,3257,5583,10753,11603,4508,901,867,122,1116,836,451,833,490,8,5,875,892,2525,502,1982,461,1645,976,2246,837,1118,40,964,1044,1284,2016,1973,1956,1626,769,1198,1006,1565,1288,122,802,643,484,1141,958,23245,22364,8517,3839,2072,7250,4577,1263,1319,8718,3580,2005,1785,3925,996,1072,823,773,898,890,956
Pedosphaera,25923,19063,14105,36410,30457,17146,16657,13655,10257,45214,43639,24968,46884,37507,30922,23329,21133,7166,6756,20757,19441,34526,34257,17806,17100,21669,21218,15958,21318,2205,4985,5435,9218,0,6090,2012,9920,2045,10598,16538,9427,14103,20222,1951,1070,375,2222,2065,1293,1936,950,11,2,1155,1560,3454,1007,2353,1059,3748,2139,3783,1942,970,73,1618,2239,3387,2188,2882,3165,1836,1274,1435,3293,4491,1618,200,2171,1874,1085,2265,1738,67269,65076,8453,6749,3644,5151,4470,1973,992,6655,2884,7028,5043,21120,4948,4948,4032,3690,4135,3943,4092
Rhizobium,26195,26006,16993,34262,51499,26587,17536,19038,16912,30146,42991,30366,36213,28007,24767,25626,24390,8014,8287,22053,21113,31814,31017,20546,20467,25780,25664,7775,12186,9403,11385,22467,6479,4497,7863,4350,7206,5786,9812,16124,13810,12089,17581,1503,1472,272,2446,1205,1301,1554,836,19,3,713,919,2485,568,1009,811,2336,1285,2009,1205,1032,49,1525,1440,1780,1353,1471,2401,1593,530,1462,1821,2034,1264,42,1448,1018,722,1158,1087,61757,60862,9586,9255,4757,7547,8390,6685,695,5484,2257,3665,2797,8396,1903,2330,2088,1759,2590,2579,2541
Reyranella,12533,8997,5029,14439,22524,8776,10758,10685,2912,39594,19431,6450,28227,17685,7766,48631,43054,14164,13344,35079,32911,54632,52748,46650,45133,59547,56576,4118,12580,588,4639,2344,1400,0,0,0,0,0,14259,20147,15561,14025,17938,1529,1022,355,3222,1738,1588,1975,1226,8,4,1625,1151,3336,876,2053,912,2588,1247,2178,1179,941,114,2246,2083,3054,2315,1606,3393,1495,1178,1574,2413,3466,1558,118,1784,1796,691,1880,1535,102778,99495,10864,8360,4185,8762,6789,1651,705,4720,1835,5819,3186,10363,3873,3965,1159,1077,2478,2485,2367
Edaphobacter,38977,31838,19673,21834,52215,24742,27236,26375,12366,67596,55544,27260,35326,22943,16634,44399,40404,16281,15970,40901,39143,70427,68753,34389,32976,41429,39443,12044,18518,564,832,1215,3150,0,989,426,831,0,8122,22914,4946,3318,26941,231,211,106,485,275,307,247,229,5,0,217,298,287,79,211,275,606,302,428,227,164,18,245,296,438,383,569,549,248,182,255,1896,1110,140,20,493,280,114,292,183,26129,25588,958,837,371,834,1081,4268,217,1531,650,1805,1923,4554,1014,1233,1181,1205,908,983,894
Flavobacterium,14944,12673,9550,16239,18970,15213,9242,10544,5443,21421,26086,17895,28740,20838,16529,9342,8878,4150,4138,4646,4442,8092,8332,35777,34853,43505,42948,8648,12427,6665,8945,16365,29959,13006,20317,10909,24598,90691,5675,5138,15083,6137,4371,714,620,101,1078,719,314,776,384,0,0,358,337,1424,273,653,264,998,540,1379,608,545,17,1018,1251,1740,1077,1329,1154,849,395,910,597,1332,840,44,512,585,464,777,741,71361,70192,11938,9474,5454,8106,3656,0,693,5039,2108,2796,2556,7259,2267,1905,1274,1262,1875,2052,2135
Variovorax,19433,20712,16358,23247,34364,21668,20415,11337,12005,32942,45829,32114,45193,23774,27800,12122,11480,4180,3795,9329,8663,11838,11379,37594,37420,43692,41784,8731,7274,5247,6218,12241,6954,0,9279,5585,9118,7638,6999,7369,16851,8814,11380,1358,1473,421,2780,1340,1131,2881,927,0,8,873,932,3740,849,1647,781,2353,1384,2561,1115,1449,125,2071,2507,3661,2742,2193,3464,1587,1088,2327,1467,2873,2325,168,1065,1358,606,1683,1291,79295,77275,7293,6768,3402,5390,5532,4786,608,3921,2391,4709,3815,9872,1875,1717,1502,1540,1638,1845,1958
Pseudonocardia,27573,19871,13627,32275,35334,20105,22506,12949,12056,37728,29419,24131,84536,47323,42234,3520,3064,766,911,5446,4953,7496,7153,3222,3141,4041,4107,4235,3145,14536,11628,23730,7732,11131,15547,28011,14648,2648,2032,2904,6699,4820,5878,2342,1832,369,4232,1565,1337,1485,1892,12,5,1090,1259,1866,797,1031,1405,2943,1417,2451,2073,1262,111,1908,1595,1558,1542,1950,2882,2490,788,1609,1534,1872,966,99,1554,2032,557,1294,2268,45942,43641,15786,11653,6224,21258,20079,8170,1813,11258,4768,13540,4963,12586,3910,4352,6985,6040,1792,1656,1808
Gemmata,34617,36706,24047,35132,61673,34746,24180,26043,22364,39946,46727,43834,46800,40556,33282,17581,15692,4140,3882,10508,9942,19498,19109,18169,17445,19218,18634,4407,5189,4361,7072,9235,5253,0,7272,1091,7245,2441,6288,8856,4640,5702,9098,1879,1613,348,2574,1548,1363,1910,1028,2,11,911,1410,2465,644,1295,1051,2942,1581,3105,1107,1071,70,1272,1604,1835,1087,1545,1885,1576,622,1361,1345,1626,1258,85,950,909,574,1313,1260,50019,48400,8510,6095,3150,6325,3773,809,517,3640,1503,1725,1308,2973,1201,977,436,318,528,535,599
Microbacterium,17841,15673,12567,26041,30153,16505,16257,12202,11486,29014,23089,23548,46795,35102,30483,7003,6474,0,0,4415,4145,6367,6147,15128,14147,15339,14447,7950,7071,12517,11859,22380,7684,11772,13559,10953,22594,5294,3413,4005,12391,4017,7397,2777,2285,427,10087,3289,2040,4021,2417,4,6,1170,1886,6703,1267,2083,1401,3352,3312,4753,1774,1676,292,4872,4453,3872,2469,2617,6047,2749,997,3407,972,1875,2879,83,1442,2173,846,1884,2479,63997,61796,15239,9475,4294,10548,7689,10501,1442,9384,4048,3488,3076,10069,2102,2718,2501,2759,1550,1628,1589
Paenibacillus,21956,32256,25349,35900,60360,39729,20649,23423,25052,33903,52194,49919,48252,49295,49981,8155,7568,2478,2445,11046,10437,15558,16035,8375,8157,10505,9482,5887,6792,8311,8285,13622,9670,3531,10387,6682,8328,2912,3750,6122,5098,5909,8849,655,421,101,1559,564,506,553,503,0,0,483,464,981,270,538,497,977,587,946,770,396,11,708,986,747,624,626,1141,618,291,534,628,831,382,20,376,736,218,682,629,25875,25315,4286,3545,1755,3278,3192,4148,495,3507,1567,2869,2486,6745,1379,1600,1645,1411,2680,2406,2502
Gemmatirosa,10084,13726,12083,30396,31602,17227,11100,14375,11471,30192,42748,39811,54802,28941,41153,2383,2189,743,631,2299,2252,3649,3439,5784,5483,7585,7325,8412,6543,10152,12577,29365,16806,1142,22204,12938,14637,4307,1973,3496,6800,5671,7768,1136,1915,528,2608,1704,842,1719,1196,4,5,1485,1617,2951,670,1962,788,2248,1101,1995,1332,2016,147,1840,2264,4592,3463,2544,4271,3205,1472,2353,1121,1655,1618,155,1505,1776,809,1791,1152,22732,21851,13350,6670,3295,7550,6704,1893,1517,10084,4138,10895,6507,13034,3901,4185,1872,1728,4665,4780,4785
Amycolatopsis,23975,16972,11503,28296,26892,13424,18400,11991,9179,31319,21420,16153,57297,47667,40895,3076,3175,1004,921,4572,4526,6952,6637,3323,3051,4509,4116,4698,3153,10744,7586,13460,6621,14481,12624,18170,18807,3469,2110,3226,5614,4030,5472,841,1644,670,3161,1212,2324,2967,2003,25,11,1041,1616,822,443,984,898,1399,1374,1237,975,578,59,1485,908,1378,1275,1122,3096,1078,1060,1546,907,1174,374,51,978,791,291,1159,875,18829,18040,16711,15310,7905,20147,22757,8381,2332,15246,6311,8702,3366,11613,2555,2859,7185,6234,1099,1413,1277
Singulisphaera,23105,16506,11378,13852,29848,14766,14944,13121,8611,25095,20483,18083,23439,18235,12401,53977,47799,12208,11263,15275,14249,28216,27169,37340,35823,39022,36702,8841,10220,7549,7883,13488,8591,783,12505,4364,7254,2758,8464,17440,4915,4566,12311,767,838,286,2263,962,1255,1144,1002,7,13,717,1031,961,400,684,907,1834,1111,1491,835,512,59,693,905,1009,718,821,1404,812,453,782,1055,1141,534,42,793,849,260,721,595,44600,42390,4912,4284,2101,3742,2005,771,461,2442,1012,1716,1057,2489,840,913,398,341,562,611,525
Nocardia,18456,16079,12735,24770,31752,14467,17805,13025,9743,31422,31684,21250,51195,31447,49439,2459,2415,702,865,3874,3773,5869,5655,2406,2505,3003,2983,3080,1939,5070,4640,8295,3306,6773,9170,11867,13372,1649,1779,2803,3771,3296,6528,965,812,232,2629,844,1321,847,1022,3,9,548,859,934,368,578,759,1616,1059,1196,854,510,70,984,1172,1180,751,1026,1512,889,367,929,1063,1154,455,46,793,961,306,844,719,33723,32555,7153,3177,1671,7952,8310,5017,524,3030,1481,5968,2574,7997,2027,2062,4116,3725,768,833,732
Methylobacterium,18655,18718,12274,15574,26211,16753,13645,14712,9822,21925,27766,20434,25667,20199,14773,16794,15488,4690,5034,9824,9339,15766,15394,11821,11372,14820,14455,5890,6516,31946,19116,52863,6886,3350,7473,2948,8526,1967,4851,8221,6260,6133,12104,673,770,133,1421,448,571,701,550,2,3,482,519,809,306,427,507,1150,695,1033,611,532,47,613,705,695,516,711,924,735,300,653,971,1241,430,41,484,516,270,550,574,28811,28321,3381,2693,1412,3029,3348,4073,427,2516,1051,1761,1291,3820,1052,1374,760,707,936,863,1076
Rhodococcus,17952,16043,10283,24362,27370,14249,16075,10238,9171,29664,23088,18938,46142,25278,22902,2780,2724,833,816,3828,3826,5736,5756,2915,2929,3869,3475,3422,2614,6609,4645,8295,4774,15665,15450,18023,26776,3425,1715,2467,4337,3370,4176,1291,1092,163,2062,912,757,965,828,3,0,649,622,953,484,497,778,1751,816,1458,1148,628,70,954,896,866,883,709,1369,911,302,685,963,1464,496,42,845,914,327,695,995,56551,54841,8037,3807,1815,8493,8015,4827,644,3931,1620,5922,2519,8779,1949,2148,6268,5475,872,770,903
Acidobacterium,13462,8774,5766,8838,15472,9338,9532,8103,4637,20392,15643,9576,10872,7373,5882,4885,4778,2277,1903,4988,4778,8615,8216,4818,4683,5563,5513,6721,5572,0,546,677,770,0,570,446,0,0,1970,6973,881,925,13782,79,81,70,276,184,208,154,161,0,2,146,234,125,57,112,114,270,118,148,83,74,10,173,197,372,226,551,393,130,137,166,797,328,67,5,306,198,55,196,108,7823,7642,535,397,230,668,39507,123454,5590,34800,14170,2372,2297,6978,1357,1428,3026,2628,1948,1914,2033
Massilia,10968,12909,9005,14649,28119,18282,7571,7068,12047,15077,26209,34204,28032,31442,27531,5236,4958,1758,1570,3884,3654,7322,6747,9241,8671,11547,10417,6099,5091,7959,5432,14991,10720,0,5186,4409,6665,10016,2020,2497,5317,3328,4112,553,1237,308,4530,1271,1502,1744,2421,7,6,1102,1092,1048,400,594,1066,1068,954,1085,645,782,59,745,912,1414,1147,892,1158,1125,425,1186,480,905,645,51,485,828,403,890,362,21839,20159,14576,4708,2440,5358,4094,4423,1816,11448,4794,3375,1459,5308,1372,3481,2050,1780,1784,1702,1695
Labilithrix,15737,15106,11822,24535,29544,12486,9799,9455,9156,25589,34479,17082,26974,21004,13998,12122,10646,3011,2675,10533,9699,13668,12817,21406,20225,26582,25342,5653,4944,1476,2401,3525,3256,0,1347,344,3847,1965,4030,4687,2282,4039,14003,835,774,240,1285,852,625,1347,503,0,1,551,887,2082,461,1126,483,1353,920,1480,581,669,84,1123,1246,2337,1688,1773,1763,1210,842,1223,1550,1498,883,94,655,663,549,1188,1023,42296,40258,9685,8152,4105,6245,3159,699,672,4053,1713,2667,1419,5735,1110,1213,355,279,897,777,972
Sorangium,8263,7614,5651,12177,15235,7012,6431,5234,5055,13591,20620,9975,24265,14587,14021,8436,7232,2105,2056,6828,6349,7904,7846,13953,13374,19730,18251,2815,3395,3622,7267,8758,3273,0,1804,1116,2067,968,4029,4240,3592,5417,8140,2040,1931,661,2246,1786,952,2002,976,7,8,884,1375,4929,935,1973,801,2984,1879,2893,1438,1553,85,2130,2273,3028,2298,2719,3133,2384,1313,2389,1285,2422,2109,192,993,1231,1102,1849,2343,53019,50565,16442,9206,4703,16024,9542,1698,1217,8209,3610,5223,3011,10391,2388,2766,894,731,1883,1844,1697
Lysobacter,7035,9012,6202,12882,16105,10286,6115,6343,6651,13334,19139,12608,16223,13306,12949,6250,5463,1704,1612,4438,4244,7025,6803,7824,7536,9743,9487,3310,4453,1911,3163,8385,11564,3650,13562,17321,19600,24292,2510,5479,11381,5116,14096,1297,1363,233,4970,1239,888,1200,1091,2,10,581,663,2791,737,933,557,1692,973,1633,2471,1614,141,2383,1903,2235,2169,1655,3139,1760,617,1849,528,1195,1601,118,537,1171,475,1294,1084,28731,28415,21106,17415,8784,11113,14369,6457,1238,8001,3361,2885,1420,6096,1560,1284,851,700,1034,1091,1025
