Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Atopobiaceae,2759,3880,2101,2214,2011,1401,1852,1557,1277,3451,3214,2693,4460,3176,2929
Aurantimonadaceae,9833,14516,7970,9069,7943,5458,6737,6326,4735,13708,12956,9345,14942,11053,9255
Aureobasidiaceae,2798,3781,2064,2403,2001,1446,1796,1581,1138,3919,3518,2634,4124,3030,2463
Auriculariaceae,3022,4083,2363,2347,2018,1589,2044,1718,1422,4193,3730,2887,4872,3479,2883
Babesiidae,805,1133,660,702,626,393,572,454,364,1234,1148,701,1174,917,669
Bacillaceae,38671,55917,30574,34128,29921,21243,27798,23018,18361,53533,50124,38253,60218,44995,37108
Bacillales Family X. Incertae Sedis,77,124,78,61,51,49,57,50,42,99,94,76,107,85,80
Bacillariaceae,1136,1464,859,904,792,558,669,573,492,1572,1433,1057,1628,1261,904
Bacteriovoracaceae,528,797,421,457,364,288,379,269,246,780,718,482,868,631,534
Bacteroidaceae,6900,9305,5161,6067,4966,3645,4875,3886,3116,10143,9038,6287,10716,7604,5676
Balamuthiidae,4,7,8,2,5,0,4,2,4,7,9,10,4,8,4
Balneolaceae,1202,1650,910,1038,867,653,858,654,570,1589,1591,1239,2045,1518,1360
Bangiaceae,36147,45433,23290,21033,21327,14826,18930,16957,14636,36995,38370,31057,59360,41798,38750
Bartonellaceae,1230,1930,979,1187,952,774,901,830,568,1928,1712,1268,1903,1423,1048
Basidiobolaceae,781,1094,566,607,513,382,506,409,364,1081,955,638,1122,857,621
Bathycoccaceae,3143,4323,2367,2320,1961,1575,1988,1601,1446,3880,3733,2776,4967,3646,2944
Batrachospermaceae,4,8,1,4,1,1,2,1,4,5,8,5,5,3,1
Bdellovibrionaceae,1586,2322,1243,1342,1036,712,1139,701,768,2157,1840,1334,2112,1698,1365
Beijerinckiaceae,10837,19183,9164,16173,9591,6314,9641,8998,4849,20994,16324,10583,23841,12274,8745
Berkeleyaceae,2,1,0,1,0,0,0,0,0,2,0,0,1,2,0
Bernardetiaceae,310,378,243,235,192,169,219,180,154,445,367,241,539,361,266
Beutenbergiaceae,896,1120,621,717,593,417,585,451,367,1181,965,753,1522,962,928
Bifidobacteriaceae,7077,9762,5333,6187,5130,3717,4705,3979,3140,9688,8836,6756,11194,8051,6783
Bionectriaceae,2,3,3,6,3,2,4,4,0,3,3,6,1,5,2
Blastocladiaceae,4507,5988,3232,3320,2995,2163,2675,2287,1935,5671,5330,4082,6858,5092,4610
Blattabacteriaceae,90,110,50,59,58,39,66,39,32,113,115,74,140,114,79
Blepharismidae,3,2,0,2,1,0,0,0,0,3,0,0,0,4,0
Bodonidae,2195,3024,1684,1818,1651,1160,1515,1236,1033,3079,2760,1994,3307,2397,1951
Bogoriellaceae,641,858,490,520,433,299,473,334,296,839,762,615,1236,813,669
Bolbitiaceae,1,1,4,2,0,0,2,3,0,11,6,1,4,1,5
Boletaceae,1,4,1,2,0,4,3,1,1,7,5,1,6,3,3
Bondarzewiaceae,1856,2239,1319,1330,1210,858,1114,880,771,3732,2172,1624,2881,1928,1719
Bonnemaisoniaceae,5,5,6,2,3,0,4,1,1,3,4,5,6,4,3
Borreliaceae,275,343,166,216,203,125,158,131,109,351,315,201,383,249,211
Botryobasidiaceae,2052,2816,1467,1579,1362,1065,1332,988,889,2807,2410,1891,3032,2214,1834
Botryococcaceae,17,27,9,18,20,11,9,8,6,31,14,10,28,35,12
Botryosphaeriaceae,4739,6605,3552,4075,3283,2319,3044,2592,1995,6560,5740,4324,7140,5301,4234
Brachyspiraceae,455,643,343,393,325,237,287,241,196,648,561,419,669,510,371
Bracteacoccaceae,6,7,5,6,1,2,3,4,1,7,14,2,14,5,4
Bradyrhizobiaceae,299483,479078,212120,391260,235214,184612,276301,219452,123571,717910,390655,212323,462927,333603,242829
Brevibacteriaceae,2960,4006,2162,2379,1959,1389,1972,1629,1301,3840,3468,2617,4827,3379,2823
Brevinemataceae,40,70,34,31,29,26,27,27,29,53,63,42,97,65,44
Brucellaceae,2449,3815,2048,2408,2012,1369,1816,1665,1127,3800,3235,2343,3579,2709,2230
Bryobacteraceae,11037,18623,8429,10216,8482,6465,8385,6569,4521,20348,16753,9226,16891,10575,7169
Bryopsidaceae,4,2,3,3,6,1,3,0,2,5,2,5,3,5,1
Budviciaceae,332,532,278,306,301,185,251,209,177,548,479,378,518,375,285
Buliminidae,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Bulleribasidiaceae,4,2,1,0,2,0,1,0,0,3,0,0,3,0,0
Burenellidae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burkholderiaceae,146540,219497,122407,128733,108641,72345,94078,82925,70030,184968,191106,142718,199996,146251,127125
Cafeteriaceae,3,14,6,0,4,9,0,0,1,1,8,2,5,5,4
Caldicoprobacteraceae,169,258,155,143,147,111,126,123,93,192,224,207,287,204,182
Caldilineaceae,1468,2140,1234,1246,1218,808,983,854,776,1721,2019,1676,2359,1836,1847
Caldisericaceae,173,278,165,136,167,106,112,84,81,192,244,185,247,239,160
Caldisphaeraceae,38,54,43,42,41,26,31,31,26,33,74,67,56,49,28
Calditrichaceae,715,1010,681,704,655,436,490,479,348,983,1083,837,1155,940,863
Caliciaceae,1,3,0,0,1,0,0,0,0,0,1,0,0,1,1
Camptobasidiaceae,2,4,0,3,3,4,1,0,2,5,8,3,9,5,4
