Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Ceramiales,27,43,27,18,13,19,12,14,9,48,42,23,40,52,29
Cercomonadida,6,1,2,7,0,0,0,0,0,4,2,3,7,2,2
Chaetocerotales,6,3,1,1,1,0,3,1,2,4,2,1,1,2,0
Chaetopeltidales,3,4,3,4,2,4,7,2,0,9,7,4,10,7,3
Chaetophorales,5,1,4,3,12,1,1,4,1,7,8,3,6,5,3
Chaetothyriales,20916,30916,14898,21268,14521,9968,13976,11059,9100,31697,25819,17989,30790,22986,17507
Chattonellales,11,15,8,9,6,6,11,5,0,12,14,9,9,7,6
Chitinispirillales,268,349,236,241,224,143,217,165,105,350,328,312,394,355,261
Chitinivibrionales,139,194,108,117,106,98,98,80,70,174,171,159,194,162,150
Chitinophagales,35433,38623,16331,17982,16032,10790,16960,12454,10500,25627,29930,18344,58310,34252,23869
Chlamydiales,1701,2647,1448,1457,1159,892,1034,918,817,2291,2180,1633,2388,1903,1469
Chlamydomonadales,16364,21220,11579,11032,10351,7112,9509,8441,6716,19839,18900,14401,25743,18431,15907
Chlorellales,7852,10669,5839,5871,5247,3793,4586,4198,3496,9703,9349,7223,12556,9010,8040
Chlorobiales,3065,4420,2635,2764,2510,1751,2237,1888,1504,4336,4393,3381,5033,3712,3235
Chlorodendrales,6,7,4,1,9,3,5,5,2,11,14,6,17,2,8
Chloroflexales,7088,10732,5902,5288,5316,3755,4552,3958,3545,8981,9060,7587,11750,9541,9148
Chlorosarcinales,6,3,3,4,0,1,0,1,0,7,3,1,3,3,2
Choanoflagellida,4322,6101,3358,3370,3032,2244,2759,2368,1954,5822,5305,4102,6662,4891,4040
Chromatiales,31162,45303,26091,25862,23657,16811,19572,18345,15181,41872,43575,32514,45294,33361,29552
Chromulinales,5,3,9,2,5,2,2,0,3,2,9,4,7,6,9
Chroococcales,3850,5682,3192,3641,2982,2171,2857,2388,2007,5715,5478,3969,6529,4723,4022
Chroococcidiopsidales,1009,1365,798,858,810,516,714,556,456,1355,1344,938,1539,1171,991
Chrysiogenales,376,600,342,365,337,212,275,251,227,573,551,440,619,509,430
Chthoniobacterales,11077,14774,8142,19064,9899,6655,10628,8478,5221,14108,12729,10019,21351,16126,12782
Chthonomonadales,2234,3306,1865,1701,1506,1047,1379,1026,923,2482,2742,2139,3358,2728,1888
