Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Peridiniales,24,45,31,23,39,24,18,22,16,37,47,47,35,39,41
Perkinsida,976,1489,718,851,771,537,672,564,472,1445,1272,944,1460,1032,885
Peronosporales,5394,7776,4143,4595,3808,2812,3561,3130,2578,7529,7058,5151,8360,6115,4726
Pertusariales,7,10,1,3,1,1,2,2,2,5,4,5,5,0,0
Petrotogales,392,577,326,341,328,241,240,201,189,515,540,396,607,525,440
Pezizales,2089,2893,1616,1763,1496,1015,1342,1111,933,2923,2568,1894,3184,2391,1868
Phaeocystales,4,6,5,8,2,3,0,2,5,2,4,1,6,7,1
Phaeomoniellales,747,1061,451,877,461,307,448,326,265,1043,818,525,1012,748,498
Philasterida,357,539,250,321,253,159,264,195,145,608,565,297,502,451,249
Phycisphaerales,1332,1811,991,1020,877,578,887,667,591,1589,1449,1162,2242,1583,1475
Physariida,19,24,14,17,11,9,12,8,5,31,16,18,33,16,7
Pinguiochrysidales,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0
Planctomycetales,100236,172298,95185,104043,94015,63579,74320,70505,57435,135848,134533,114082,148307,115157,95493
Pleosporales,16426,23042,12138,15989,11680,8178,10738,9145,7173,23751,20559,14600,25513,18427,14519
Pleurocapsales,1909,2773,1566,1891,1556,1088,1496,1253,898,2890,2694,1936,3229,2354,2044
Plocamiales,2,0,0,2,0,0,3,1,0,7,0,1,3,3,0
Pneumocystidales,426,563,306,340,321,173,217,190,153,546,442,312,499,412,243
Polyporales,20997,28355,15196,16379,14322,10380,13018,11327,9089,30647,25632,18877,32648,23057,18853
Porphyridiales,7,10,6,4,6,6,3,3,4,13,9,9,10,8,10
Prasinococcales,6,8,3,3,5,10,2,2,10,9,9,9,10,6,6
Prasiolales,7,9,7,3,7,3,3,3,2,13,6,3,3,11,3
Propionibacteriales,61322,72598,37550,51457,38093,27220,41355,29530,22878,84740,61540,47962,115923,69054,66684
Prorocentrales,27,31,16,22,9,13,13,5,7,19,19,17,43,22,22
Prymnesiales,2206,2857,1609,1660,1475,1111,1370,1161,997,2875,2559,2007,3241,2263,1960
Pseudomonadales,76394,110870,62132,67124,57417,41078,51809,44918,36095,110217,109214,92427,113538,82825,69734
Pseudonocardiales,152127,177332,90352,135539,95208,67710,104455,72578,56364,213511,149039,112077,291462,168792,143811
Pucciniales,6686,9201,5114,5519,4785,3407,4518,3744,2945,9816,8692,6331,10357,7583,6028
Puniceicoccales,485,583,342,612,416,269,349,317,257,632,609,435,734,570,438
Pyramimonadales,16,31,9,7,5,5,8,4,4,22,9,8,15,18,4
Pyrenomonadales,1783,2520,1470,1479,1352,948,1156,1043,828,2609,2298,1675,2707,2028,1555
Pyrocystales,1,3,2,0,1,0,0,0,0,3,1,0,4,2,1
Pythiales,5,11,9,6,5,5,7,2,4,7,10,5,11,11,9
Rhizobiales,593459,929928,453295,680760,484821,355165,488919,425136,262112,1131522,789729,492737,895203,656200,503921
Rhizophlyctidales,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rhizophydiales,1222,1744,939,1004,871,630,760,679,556,1892,1802,1168,1876,1349,1054
Rhizosoleniales,2,0,2,4,1,0,1,0,0,2,3,0,4,1,0
Rhodobacterales,93888,138672,75938,84344,74544,52489,65807,59564,44732,131692,125755,92137,143775,105836,88413
Rhodochaetales,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rhodocyclales,20728,29561,16910,14290,15084,10273,11976,11205,10160,23647,29552,23006,28813,21384,20468
Rhodospirillales,117999,176060,89735,124712,96326,64084,90428,80072,50895,198092,157786,101902,178406,122862,91494
Rhodymeniales,5,10,6,7,3,3,3,2,4,12,10,3,19,9,9
Rickettsiales,1587,2366,1232,1505,1149,818,1079,882,741,2305,2172,1531,2408,1742,1278
Rotaliida,4,0,0,2,0,0,3,1,1,1,2,0,3,0,0
Rubrobacterales,4396,6270,3082,2961,2948,2136,2554,2317,2017,4095,4400,3884,7436,5559,5192
Russulales,5927,7575,4240,4534,3921,2817,3605,2979,2526,10887,7057,5349,9070,6363,5361
Saccharomycetales,18555,25392,13761,16059,13065,9068,12444,10156,8573,27329,23755,16243,27258,20111,14970
Salinisphaerales,955,1378,770,824,722,487,614,553,480,1300,1204,1027,1378,1040,904
Saprolegniales,7736,11190,5945,6643,5629,4003,5320,4528,3595,11164,9987,7443,11805,8899,7068
Saprospirales,2918,3842,2142,2358,1975,1392,1956,1653,1183,3840,3612,2526,4856,3341,2679
Schizopyrenida,713,1049,561,625,499,356,527,410,305,1188,1018,746,1150,856,578
Schizosaccharomycetales,872,1259,685,908,664,434,607,504,420,1295,1118,751,1274,1031,664
Sebacinales,2513,3498,1813,2704,1967,1282,1648,1492,1151,3561,3198,2150,3714,2689,2160
Sebdeniales,1,2,2,0,3,2,1,0,0,4,8,1,6,4,3
Selenomonadales,6319,9417,5309,5453,4928,3621,4313,3864,3119,8421,8379,6708,9744,7594,6300
Sessilida,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Slopalinida,2,2,0,6,1,0,0,0,0,3,0,0,1,2,0
Sneathiellales,1419,2013,1070,1235,1129,738,994,877,620,1954,1963,1269,1957,1357,1199
Solibacterales,57263,89603,42020,54700,45097,32309,46038,35126,22490,114324,93643,49333,95819,56697,38372
Solirubrobacterales,102745,97862,31504,66132,55105,38897,57933,46009,25954,52517,58055,49633,144626,106743,83588
Sordariales,11720,15812,8475,9168,7863,5671,7158,6229,5039,15233,14222,10290,17604,12959,10704
Sphaerobacterales,5003,7581,4135,3138,3755,2616,3044,2886,2560,4902,5608,5295,7251,6219,5681
Sphaeropleales,4613,6098,3300,3187,2872,2161,2611,2425,1989,5654,5436,4101,7217,5133,4480
Sphingobacteriales,33239,42348,19172,32241,18612,12359,21127,14134,12693,38572,33986,21365,46829,30785,20328
Sphingomonadales,86686,134084,70085,73395,62477,43363,56798,49517,39187,121420,105405,75957,122138,90626,71639
Spirochaetales,6758,9431,5503,6217,5291,3676,4766,3946,3222,9234,9102,6573,10461,7735,6487
Spirulinales,752,1007,618,701,551,399,503,428,346,900,971,739,1157,836,775
Spizellomycetales,1054,1437,748,861,742,491,649,547,458,1373,1211,961,1468,1107,870
Sporadotrichida,1532,2193,975,1313,1091,650,1168,771,609,2513,1785,1082,2114,1543,912
Sporidiobolales,6644,8902,4884,4773,4402,3093,3991,3575,2795,8174,7878,5898,10303,7544,6600
Stichotrichida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomycetales,538769,671249,350293,432364,349072,247767,347184,269052,217307,717965,573220,445165,906140,579690,509310
Streptosporangiales,140026,134633,66896,134163,78477,55707,103590,59563,43405,233734,121201,85071,271124,127385,107262
Stylonematales,3,8,2,6,3,0,2,2,6,9,7,3,4,5,3
Suessiales,8150,11487,6237,7134,6043,4345,5566,4848,3788,11664,10509,7817,12602,9070,7669
Sulfolobales,1059,1597,1217,981,981,648,839,608,678,1595,1683,1330,2049,1309,1009
Sulfuricellales,923,1173,713,446,619,354,380,432,425,925,1322,1148,1140,884,1010
Superstratomycetales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syndiniales,10,3,10,5,1,2,2,1,2,5,4,5,7,6,8
Synechococcales,23666,33535,18536,21022,18238,12660,16739,14034,11299,33253,30852,23585,37828,27248,23634
Synergistales,3443,5160,2966,2885,2768,1936,2290,2096,1791,4429,4517,3703,5292,4234,3598
Syntrophobacterales,7178,11095,6153,6795,6183,4573,5085,4696,3940,10005,11042,8409,11548,8905,8291
Synurales,4,13,0,2,0,1,0,1,3,3,2,2,2,6,2
Taphrinales,718,1046,611,692,537,359,480,379,349,1004,854,646,1015,843,614
Teloschistales,1,3,3,2,0,4,4,1,1,7,1,1,1,1,2
Thalassiosirales,8198,10959,5845,5981,5520,3901,5035,4394,3777,10026,9561,7315,13040,9358,8126
Thelephorales,1,1,0,5,0,0,0,0,0,6,6,6,9,8,0
Thermales,7694,11513,6403,6445,6274,4442,5174,4712,4075,9444,10264,8007,12079,9545,8893
Thermoanaerobacterales,6564,10574,6106,5414,5487,4024,4435,4020,3745,8159,8964,7537,10207,8673,7848
Thermococcales,1324,2033,1099,1161,1002,730,874,782,690,1775,1684,1412,1894,1662,1346
Thermodesulfobacteriales,1135,1711,937,958,906,718,780,640,619,1431,1662,1208,1655,1389,1238
Thermoflexales,10,11,6,2,10,6,5,7,3,18,5,13,4,15,16
Thermogemmatisporales,13366,11537,6207,12482,8080,5301,15453,7249,4070,36244,14186,6087,26262,8546,4361
Thermoleophilales,5803,7073,2317,3677,3185,2308,3374,2561,1538,2386,3017,2951,9085,8314,8356
Thermomicrobiales,1299,2008,1144,777,1010,736,772,811,688,1284,1507,1349,1875,1649,1564
Thermoplasmatales,1115,1833,1151,975,913,717,796,695,747,1535,1626,1407,1821,1370,1037
Thermoproteales,2017,3007,1769,1614,1646,1161,1319,1210,1074,2678,2670,2247,2980,2319,1909
Thermotogales,1606,2469,1439,1479,1390,1034,1111,1010,897,2106,2258,1899,2641,2145,1860
Thiotrichales,10148,14884,8325,8565,7574,5371,6767,5933,4938,14241,14202,10643,15078,11287,9393
Thoreales,3,1,1,0,0,1,4,2,1,6,3,3,2,1,1
Tilletiales,4194,5761,3011,3236,2819,1968,2629,2236,1835,5630,5107,3919,6365,4663,3891
Tissierellales,1586,2304,1327,1355,1212,830,1082,870,752,2108,1955,1564,2330,1955,1503
Togniniales,561,823,376,501,446,283,351,306,216,768,741,520,795,671,451
Toxariales,1,1,1,1,2,0,0,0,1,6,1,3,0,3,2
Trapeliales,1,3,0,0,0,0,1,0,0,2,0,1,0,0,1
Trechisporales,1814,2541,1352,1457,1166,842,1089,974,754,2474,2116,1552,2664,1950,1616
Tremellales,12918,17677,9912,10457,8755,6446,8477,7207,5735,18103,16300,11983,19929,14711,12055
Tribonematales,1,5,0,1,0,0,0,0,0,2,0,0,0,0,0
Trichomonadida,895,1290,668,844,602,444,584,524,410,1415,1131,803,1426,1037,713
Trichosporonales,3580,4915,2671,2756,2455,1724,2215,1881,1626,4695,4412,3333,5636,4143,3341
Tritrichomonadida,1189,1571,816,996,789,548,803,600,536,1719,1481,956,1688,1262,849
Trypetheliales,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Ulotrichales,20,28,8,11,9,4,15,10,10,40,21,14,36,11,8
Ulvales,29,35,23,17,17,13,14,8,15,41,29,20,50,25,25
Umbelopsidales,2,0,0,3,1,0,1,2,0,1,2,0,1,1,1
Umbilicariales,965,1365,622,1114,693,443,600,467,437,1490,1193,697,1285,1137,659
unclassified,1083,1157,1189,677,402,340,550,278,463,1742,1162,1232,1410,1124,399
Ustilaginales,9381,12957,7225,7549,6561,4774,6080,5223,4361,12558,11676,8758,14260,10533,8730
Vaucheriales,2,6,3,2,1,4,5,2,2,3,2,6,10,3,2
Veillonellales,2107,3221,1740,1827,1673,1219,1502,1207,1024,2803,2720,2140,3216,2538,2124
Venturiales,1005,1362,689,961,707,542,686,541,398,1561,1188,939,1463,1105,809
Verrucariales,1432,2226,816,2160,801,596,947,644,505,2355,1747,930,1925,1733,918
Verrucomicrobiales,29024,32006,17879,32107,19842,13794,19214,15638,10443,39151,35038,23416,43377,32202,26762
Vibrionales,13166,19234,10624,12387,10202,6899,9414,7830,6325,20016,17946,13008,20344,14542,11280
Viruses,18828,26185,13901,14644,13028,9095,11895,9929,8318,25439,23273,17086,28640,20657,17115
Wallemiales,586,805,457,521,402,290,369,315,276,868,680,492,839,644,499
Xanthomonadales,74673,104444,57156,66916,53607,37677,48748,41160,33606,98183,96071,70507,108220,77351,67032
Xylariales,9252,12865,6595,7887,6222,4696,6062,4981,4069,12746,11257,8307,13424,9956,8076
Xylonomycetales,1005,1334,725,930,666,486,611,540,439,1317,1193,801,1435,1155,807
Acarosporales,0,2,0,0,0,2,0,0,0,1,1,0,1,2,0
Asellariales,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cladophorales,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
Cutleriales,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Dinophysiales,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Endogonales,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Entwisleiales,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Exobasidiales,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Glaucosphaerales,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Glissomonadida,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Gloeochaetales,0,4,4,0,2,0,1,3,0,2,6,1,4,3,1
Haptorida,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiaulales,0,1,0,0,0,1,0,0,0,2,0,0,0,5,1
Heteronematales,0,1,0,0,0,0,0,1,2,2,0,0,2,2,0
Himatismenida,0,6,2,0,1,0,0,0,0,2,0,0,1,0,0
Hypocomatida,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hysteriales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptomitales,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithodesmiales,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0
Melosirales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Microstromatales,0,1,0,0,1,0,1,0,0,2,2,1,1,0,0
Myzocytiopsidales,0,4,1,1,0,1,0,0,0,3,2,2,3,0,2
Oltmansiellopsidales,0,2,0,0,1,0,0,1,0,2,1,1,0,0,0
Pleurochloridellales,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pleurotheciales,0,3,2,2,0,1,0,0,0,5,0,1,2,1,0
Ralfsiales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodothalassiales,0,2,2,0,1,0,1,2,0,1,0,0,1,1,2
Scotinosphaerales,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sorogenida,0,3,3,0,0,1,1,2,1,0,3,1,13,6,0
Sticholonchida,0,5,0,2,5,0,3,1,0,5,1,2,1,1,1
Thaumatomonadida,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0
Trichonymphida,0,2,0,2,0,0,0,0,0,3,2,1,5,0,3
Tritirachiales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Urostylida,0,2,0,3,0,0,0,3,2,1,2,2,3,3,0
Zoopagales,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0
Compsopogonales,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Coronophorales,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cyrtophorida,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0
Cystobasidiales,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Entodiniomorphida,0,0,1,1,0,1,2,0,0,5,6,0,2,0,1
Hypotrichomonadida,0,0,3,0,1,0,1,1,0,3,0,1,2,1,2
Liceales,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Polychytriales,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
Sporochnales,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Striatellales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thalassiophysales,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Chlorocystidales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cladochytriales,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Hapalidiales,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Moniliellales,0,0,0,1,1,0,0,0,0,2,1,1,1,1,2
Nassulida,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pseudoamphisiellida,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rhizochromulinales,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sarcinochrysidales,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Savoryellales,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
Telonemida,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0
Agaricostilbales,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0
Cocconeidales,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Corethrales,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Dimargaritales,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0
Hibberdiales,0,0,0,0,3,2,0,0,2,0,0,0,0,1,0
Lichinales,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Nassellaria,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
Protosteliales,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
Rhytismatales,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0
Sphenomonadales,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Surirellales,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Syringodermatales,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Blastodiniales,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cristamonadida,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pyrenulales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spumellaria,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Arcellinida,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Baeomycetales,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Coniocybales,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trichiida,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Urocystidales,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Acrosymphytales,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trentepohliales,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2
Acrochaetiales,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gomphales,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Stemonitida,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Thalassionemales,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Erythropeltidales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Falcocladiales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jahnulales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mischococcales,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4
Naohideales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rhodellales,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
Rhopalodiales,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
Syracosphaerales,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Tilopteridales,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Hysterangiales,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ochromonadales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Phallales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spirotrichonymphida,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cymatosirales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Entylomatales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rufusiales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sphacelariales,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Anaeroplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Erythrobasidiales,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Septobasidiales,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Torpedosporales,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Apostomatida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Collemopsidiales,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lyrellales,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spiculogloeales,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tetrasporales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
