Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Lautropia,2317,3061,1765,1549,1619,1066,1239,1195,1048,2407,3095,2391,3017,2336,2290
Lawsonella,137,173,92,113,86,63,117,85,52,204,160,133,246,171,140
Lawsonia,90,155,89,95,63,61,79,65,38,126,147,115,128,114,97
Leadbetterella,375,499,249,239,246,177,218,191,150,455,447,306,644,426,336
Lebetimonas,48,65,40,37,26,31,25,30,36,62,69,50,65,54,49
Lecanicillium,1,0,4,2,1,2,0,0,0,0,0,0,4,2,4
Lecanora,3,0,2,7,1,0,0,0,4,4,2,0,4,10,0
Lecanosticta,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lechevalieria,3353,4109,2108,3029,2332,1636,2197,1718,1297,4864,3491,2612,6019,3755,3165
Lecidea,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Leclercia,113,180,125,88,94,85,90,67,66,238,188,123,210,159,129
Leeia,417,635,367,247,364,204,228,210,186,446,655,514,525,442,435
Leeuwenhoekiella,443,591,288,359,308,205,276,218,178,536,517,359,683,485,361
Legionella,5640,8733,4935,5250,4610,3069,3949,3420,2839,8247,7882,5623,8097,6113,4852
Leifsonia,5698,7323,3843,4622,3838,2765,3844,3004,2419,7704,6036,4864,9622,6350,5318
Leishmania,5733,7784,4431,4564,4006,3028,3676,3255,2684,7620,7104,5280,8604,6288,5410
Leisingera,1199,1779,1037,1142,1015,726,842,791,597,1770,1646,1311,1906,1435,1219
Lelliottia,74,84,80,78,65,30,57,30,30,85,94,67,114,66,49
Lembadion,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Leminorella,127,172,103,112,99,56,68,68,68,183,179,145,159,135,103
Lentibacillus,259,407,246,267,238,163,204,198,126,404,363,306,429,297,304
Lentibacter,91,143,67,84,59,58,63,71,39,154,109,90,125,101,68
Lentimicrobium,310,326,207,182,154,110,182,125,116,323,319,198,423,313,263
Lentinula,918,1241,640,742,653,482,541,505,380,1375,1146,778,1390,953,723
Lentinus,3,0,0,1,0,2,0,0,0,1,1,2,0,0,0
Lentisphaera,326,493,257,313,266,175,222,185,130,452,448,319,565,380,340
Lentzea,4737,5896,2941,4049,3042,2295,3261,2305,1853,6648,4919,3738,7933,5411,4475
Lepidodinium,1,4,5,5,3,7,0,5,1,9,7,0,0,6,1
Lepidopterella,1233,1872,839,1329,831,614,831,623,538,1958,1516,1065,1839,1347,992
Leptocylindrus,2,4,2,0,2,1,0,1,1,1,3,1,2,1,1
Leptographium,1,3,0,1,1,0,0,0,0,3,2,0,1,1,2
Leptolinea,476,621,376,385,375,274,295,256,268,621,619,560,670,511,510
Leptolyngbya,5681,8203,4488,5140,4312,3028,4086,3369,2602,8218,7765,5632,9585,6407,5761
Leptomonas,3508,4836,2745,2714,2532,1678,2218,1988,1612,4677,4328,3281,5257,3895,3290
Leptonema,395,524,323,323,324,220,252,236,200,535,540,364,632,477,426
Leptosira,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptosphaeria,1158,1579,889,1081,887,568,774,705,548,1692,1464,1003,1790,1333,1177
Leptospira,3338,4660,2476,3064,2498,1727,2256,1935,1470,4857,4706,3135,5016,3743,2941
Leptospirillum,1636,2455,1397,1539,1371,954,1166,1039,818,2245,2338,1778,2461,1831,1641
Leptothrix,888,1403,717,660,649,395,489,414,537,1006,1209,926,1338,1063,888
Leptotrichia,358,421,245,276,253,174,212,196,141,412,458,310,475,370,302
Lessonia,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0
Letharia,1,2,1,1,1,0,1,1,1,2,1,0,4,0,1
