Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Candidatus Kerfeldbacteria,224,302,188,145,119,109,106,101,101,234,240,209,298,248,226
Candidatus Komeilibacteria,259,305,220,194,173,133,158,124,113,267,280,218,354,316,245
Candidatus Korarchaeota,90,136,111,95,64,57,63,51,61,107,124,146,138,111,92
Candidatus Kryptonia,767,1078,592,580,661,447,516,436,401,986,1073,877,1249,975,905
Candidatus Kuenenbacteria,148,220,131,108,95,76,110,81,81,125,174,180,227,211,165
Candidatus Latescibacteria,1031,1386,824,786,769,561,603,555,524,1250,1388,1070,1507,1247,1219
Candidatus Levybacteria,2157,3190,1840,1030,1075,795,970,706,905,1685,1858,1328,2342,1942,1513
Candidatus Lindowbacteria,807,1218,715,703,693,474,572,536,410,1122,1219,933,1237,964,1003
Candidatus Liptonbacteria,368,575,388,271,249,215,225,177,168,466,505,460,531,364,313
Candidatus Lloydbacteria,405,612,386,314,298,246,221,226,170,487,570,514,606,527,385
Candidatus Lokiarchaeota,296,400,244,264,247,197,212,192,176,421,431,346,491,328,283
Candidatus Magasanikbacteria,1485,2214,1292,1197,1083,824,884,809,702,1736,1909,1467,2165,1882,1550
Candidatus Margulisbacteria,269,451,208,269,238,146,169,159,167,359,360,283,410,344,269
Candidatus Marinimicrobia,462,642,365,372,367,262,311,257,222,598,625,459,730,581,526
Candidatus Micrarchaeota,414,607,387,360,333,231,255,250,254,543,574,524,650,536,419
Candidatus Microgenomates,230,307,172,153,158,93,127,95,89,268,237,206,279,241,204
Candidatus Moranbacteria,736,1045,614,576,481,405,456,399,342,953,945,746,1080,899,815
Candidatus Nanohaloarchaeota,115,139,95,116,80,48,72,64,59,161,129,144,176,121,85
Candidatus Nealsonbacteria,186,304,141,162,135,85,129,75,86,242,219,162,279,230,201
Candidatus Niyogibacteria,81,119,82,57,54,45,52,45,30,100,104,71,112,97,79
Candidatus Nomurabacteria,1153,1508,967,822,684,480,709,481,427,1306,1475,1069,1818,1469,1168
Candidatus Odinarchaeota,56,101,52,58,47,39,41,38,38,80,112,89,115,76,67
Candidatus Omnitrophica,8141,11927,7243,6968,6836,4804,5357,5153,4366,10186,11817,9513,13037,11116,9768
Candidatus Pacebacteria,186,294,215,156,148,119,130,105,80,288,294,222,350,261,195
Candidatus Parcubacteria,817,1236,635,715,476,418,516,397,319,971,968,753,1149,1030,690
Candidatus Parvarchaeota,48,66,49,36,41,20,38,28,36,57,62,65,59,60,50
Candidatus Peregrinibacteria,2159,2725,1610,1276,1219,945,1142,930,779,2057,2254,1767,3042,2384,2070
Candidatus Poribacteria,15,36,22,15,22,12,20,11,15,31,30,30,34,15,17
Candidatus Portnoybacteria,188,245,136,154,150,84,118,116,95,226,244,184,258,224,182
Candidatus Raymondbacteria,499,789,409,479,412,267,338,274,233,709,721,486,730,568,485
Candidatus Riflebacteria,254,413,246,236,202,143,193,159,129,350,364,277,402,300,266
Candidatus Roizmanbacteria,1631,2373,1270,1040,1061,716,933,777,726,1655,1610,1411,2266,1982,1499
Candidatus Rokubacteria,48701,58751,33881,31048,60625,37360,27241,36964,36903,62812,155375,100847,106931,85407,118834
Candidatus Ryanbacteria,321,464,315,230,211,149,192,144,159,395,411,369,546,453,348
Candidatus Saccharibacteria,2392,3621,1459,1112,1075,721,945,714,715,1922,1490,1292,2442,2263,2026
Candidatus Schekmanbacteria,1023,1631,842,956,876,589,735,718,692,1373,1742,1236,1762,1459,1401
Candidatus Shapirobacteria,131,176,113,97,96,69,67,66,78,173,170,127,204,157,117
Candidatus Spechtbacteria,113,216,100,87,89,67,97,66,54,141,171,172,188,172,146
Candidatus Staskawiczbacteria,693,983,590,412,352,241,395,221,224,589,772,611,1045,848,616
Candidatus Sungbacteria,563,822,474,429,413,317,388,318,246,625,783,535,843,743,620
Candidatus Tagabacteria,39,51,37,27,23,13,24,31,14,41,76,39,56,56,37
Candidatus Taylorbacteria,778,960,553,495,437,348,367,306,291,746,806,645,936,816,680
Candidatus Tectomicrobia,7192,10647,5831,6706,7244,4732,5141,5514,4575,9603,13635,11576,15923,11464,12672
Candidatus Terrybacteria,232,371,205,141,191,155,153,139,131,264,293,261,314,316,267
Candidatus Thorarchaeota,464,649,422,382,388,262,331,264,252,649,668,487,711,521,507
Candidatus Uhrbacteria,1616,2316,1248,1147,1179,819,1073,827,769,1977,2120,1611,2455,1915,1752
Candidatus Veblenbacteria,7,4,1,4,7,2,4,2,2,7,6,0,5,6,7
Candidatus Vogelbacteria,110,139,106,56,65,52,86,70,39,137,143,79,138,111,103
Candidatus Wallbacteria,156,223,115,160,119,72,105,74,76,197,229,163,260,186,143
Candidatus Wildermuthbacteria,290,463,270,208,185,154,182,157,155,335,420,259,411,373,352
Candidatus Wirthbacteria,110,221,107,78,76,60,63,70,78,156,145,138,160,150,140
Candidatus Woesearchaeota,198,221,138,140,120,115,146,106,94,265,196,176,232,200,166
Candidatus Woesebacteria,1817,2572,1583,1316,1297,896,1028,920,861,2095,2164,1737,2450,2087,1743
Candidatus Wolfebacteria,293,337,231,234,208,122,210,142,144,371,361,294,434,314,308
Candidatus Woykebacteria,479,872,556,333,399,276,292,277,325,574,622,619,723,662,627
Candidatus Yanofskybacteria,1000,1425,897,700,701,475,547,504,454,1176,1310,1047,1495,1252,1123
Candidatus Yonathbacteria,206,272,199,192,148,103,113,134,139,279,283,251,324,295,194
Candidatus Zambryskibacteria,455,562,317,266,242,178,213,166,151,475,460,384,563,498,393
cannot be assigned,751541,1069217,613143,591507,559609,399845,481331,435165,376039,978737,986511,778052,1104232,842456,719624
Chlamydiae,4726,8075,4650,4267,3662,2593,3021,2656,2564,6375,6157,5125,6509,5149,3955
Chlorobi,4773,6917,4278,4090,3955,2770,3376,2915,2470,6390,7300,5575,8260,6105,5405
Chloroflexi,292292,294799,176153,189355,179057,121020,203676,138685,110716,430793,285428,220638,416435,258650,244652
Chlorophyta,39675,52916,28436,27920,25457,18076,23304,20618,16985,48376,46489,35289,62363,45152,38941
Chromerida,5186,7009,3949,4066,3473,2535,3268,2823,2302,7060,6525,4897,8090,5800,4891
Chrysiogenetes,376,600,342,365,337,212,275,251,227,573,551,440,619,509,430
Chytridiomycota,5703,7855,4211,4425,3896,2785,3594,3102,2470,7823,7115,5236,8659,6179,5153
Colponemidia,1,0,1,2,1,0,0,0,0,0,0,0,0,5,3
Crenarchaeota,5429,8308,6101,4843,4882,3298,3985,3478,4344,7830,8530,8884,8973,6586,5416
Cryptomycota,224,307,148,180,129,91,138,98,84,293,265,206,277,214,151
Cyanobacteria,87616,123511,69141,80946,71127,49297,64469,55321,43245,129341,122940,90997,150525,107901,95694
Deferribacteres,760,1084,647,651,622,479,496,480,427,1052,1100,847,1207,973,879
DeinococcusThermus,21221,30352,16807,17687,16127,11470,13945,12302,10459,26087,26437,21236,32930,25050,22560
Dictyoglomi,239,365,212,195,227,157,125,132,118,289,334,275,354,331,296
Elusimicrobia,10774,16229,10357,9057,8673,6168,7333,6502,5596,13663,16418,12942,17212,13352,11975
Euglenida,36,67,22,39,33,21,31,20,29,90,63,38,69,56,40
Euryarchaeota,41928,60563,34860,34998,32232,23034,28257,24832,20816,55381,55762,43337,65756,48803,42168
Eustigmatophyceae,2255,3042,1685,1656,1479,1054,1403,1201,964,2968,2649,2133,3449,2485,2152
Fibrobacteres,1561,2010,1189,1364,1181,850,1103,876,739,2173,1940,1501,2395,1841,1458
Firmicutes,234435,342749,191472,201850,181412,130313,162495,138520,116311,320892,305756,236408,363781,279072,231181
