Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Nanohaloarchaea,115,139,95,116,80,48,72,64,59,161,129,144,176,121,85
Nassophorea,3,0,0,3,0,0,0,0,0,0,0,1,0,0,3
Negativicutes,9455,14140,7943,8136,7425,5421,6530,5647,4666,12581,12458,9957,14453,11367,9423
Neocallimastigomycetes,1484,2033,1068,1302,986,709,976,709,637,2167,1904,1266,2259,1652,1116
Neolectomycetes,357,582,297,377,306,210,245,211,168,485,452,337,543,422,297
Nephroselmidophyceae,18,35,11,15,14,8,9,10,8,19,14,12,16,20,8
Nitriliruptoria,2361,3172,1635,1698,1656,1163,1405,1257,987,2633,2464,2137,3904,2937,3079
Nitrososphaeria,2356,2739,2539,2923,4788,3520,3120,3817,2241,1234,5691,5647,8130,5895,4455
Nitrospinia,675,1021,642,612,587,423,447,463,425,884,1079,832,1079,885,824
Nitrospira,14050,22266,13690,12275,13278,9532,9490,10102,9019,23260,34475,23721,24740,21631,30746
Oligohymenophorea,2281,3148,1618,1992,1522,1123,1619,1189,970,3602,3004,1925,3497,2584,1521
Oomycetes,14198,20405,10828,12113,10195,7332,9581,8279,6595,20250,18453,13499,21726,16209,12589
Opitutae,14099,18952,10754,13695,9722,6763,9269,7572,6811,16956,17970,13014,23614,17269,13370
Orbiliomycetes,2801,4027,2168,2464,1980,1498,1928,1585,1284,4099,3579,2640,4530,3147,2660
Pedinophyceae,8,3,4,9,3,2,5,2,3,11,2,3,5,6,6
Pelagophyceae,7176,9042,4724,4633,4448,3136,3978,3477,3000,7501,7820,6147,11829,8284,7742
Pezizomycetes,2089,2893,1616,1763,1496,1015,1342,1111,933,2923,2568,1894,3184,2391,1868
Phycisphaerae,4540,6421,3625,3904,3304,2244,3032,2475,2127,6010,5650,4370,7382,5336,4655
Planctomycetia,103181,176963,97964,107260,96975,65571,76694,72754,59262,140652,139806,117814,153796,119186,99274
Pneumocystidomycetes,426,563,306,340,321,173,217,190,153,546,442,312,499,412,243
Polycystinea,1,2,0,1,1,2,0,0,0,1,0,0,4,1,2
Pucciniomycetes,6686,9201,5114,5519,4785,3407,4518,3744,2945,9816,8692,6331,10358,7583,6028
Raphidophyceae,11,17,8,9,6,6,11,5,0,13,14,9,9,7,6
Rubrobacteria,14369,14736,5576,4477,4829,3858,4720,4368,3655,6175,10377,7957,24801,21366,25531
Saccharomycetes,18555,25392,13761,16059,13065,9068,12444,10156,8573,27329,23755,16243,27258,20111,14970
Saprospiria,2918,3842,2142,2358,1975,1392,1956,1653,1183,3840,3612,2526,4856,3341,2679
Schizosaccharomycetes,872,1259,685,908,664,434,607,504,420,1295,1118,751,1274,1031,664
Solibacteres,57263,89603,42020,54700,45097,32309,46038,35126,22490,114324,93643,49333,95819,56697,38372
Sordariomycetes,101687,139843,74892,84218,69609,49910,64969,55141,44796,138376,124097,92073,151869,112230,91287
Spartobacteria,12626,16758,9274,23198,11828,7954,12568,10046,6061,16363,14924,11608,24806,18831,15026
Sphingobacteriia,33517,42653,19324,32400,18728,12433,21252,14228,12773,38772,34224,21512,47303,31112,20563
Spirochaetia,11346,15892,8983,10342,8817,6070,7851,6588,5304,15810,15514,10935,17494,13005,10690
Spirotrichea,1542,2209,980,1323,1098,654,1180,778,618,2534,1802,1095,2136,1563,919
Stylonematophyceae,3,8,2,6,3,0,2,2,6,9,7,4,4,5,3
Synergistia,3443,5160,2966,2885,2768,1936,2290,2096,1791,4429,4517,3703,5292,4234,3598
Synurophyceae,6,21,4,4,0,3,0,2,8,4,4,7,5,8,2
Taphrinomycetes,718,1046,611,692,537,359,480,379,349,1004,854,646,1015,843,614
Theionarchaea,373,549,360,281,309,237,296,242,198,564,586,417,673,447,425
Thermococci,1324,2033,1099,1161,1002,730,874,782,690,1775,1684,1412,1894,1662,1346
Thermodesulfobacteria,1135,1711,937,958,906,718,780,640,619,1431,1662,1208,1655,1389,1238
Thermoflexia,10,11,6,2,10,6,5,7,3,18,5,13,4,15,16
Thermoleophilia,108813,105175,33893,69949,58423,41288,61407,48682,27565,54991,61200,52707,154071,115335,92182
Thermomicrobia,7815,12090,6712,4824,5975,4228,4733,4664,4117,7628,8896,8468,11313,9836,9077
Thermoplasmata,1707,2740,1668,1433,1354,1060,1231,1072,1048,2301,2425,2031,2681,2105,1607
Thermoprotei,4568,6859,4274,3844,3807,2609,3160,2713,2576,6247,6381,5234,7361,5430,4361
Thermotogae,2678,4076,2371,2482,2293,1673,1825,1635,1417,3591,3697,3050,4319,3492,3071
Tissierellia,2288,3358,1919,1917,1781,1211,1574,1249,1091,3015,2885,2245,3455,2804,2262
Trebouxiophyceae,9286,12690,6962,6953,6304,4474,5523,4992,4147,11603,11212,8576,14875,10794,9417
Tremellomycetes,17369,23858,13296,13906,11850,8641,11252,9574,7740,24076,21836,16123,26938,19833,16203
Ulvophyceae,96,131,62,60,69,32,49,45,45,133,94,74,127,91,64
unclassified,1083,1157,1189,677,402,340,550,278,463,1742,1162,1232,1410,1124,399
Ustilaginomycetes,9381,12957,7225,7549,6561,4774,6081,5223,4361,12558,11677,8758,14260,10533,8730
Verrucomicrobiae,29024,32006,17879,32107,19842,13794,19214,15638,10443,39151,35038,23416,43377,32202,26762
Viruses,18828,26185,13901,14644,13028,9095,11895,9929,8318,25439,23273,17086,28640,20657,17115
Wallemiomycetes,586,805,457,521,402,290,369,315,276,868,680,492,839,644,499
Xylonomycetes,1005,1334,725,930,666,486,611,540,439,1317,1193,801,1435,1155,807
Zetaproteobacteria,1272,1881,1129,1105,1010,798,861,809,649,1724,1806,1490,2122,1622,1406
Colpodea,0,3,3,0,0,1,1,2,1,0,3,1,13,6,0
Cystobasidiomycetes,0,1,1,0,2,0,0,0,0,1,0,0,3,1,0
Phaeothamniophyceae,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Phyllopharyngea,0,2,1,0,0,0,1,1,0,2,1,0,0,0,0
Rhodellophyceae,0,1,0,0,0,0,0,0,1,3,0,1,0,1,0
Tritirachiomycetes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moniliellomycetes,0,0,0,1,1,0,0,0,0,2,1,1,1,1,2
Agaricostilbomycetes,0,0,0,0,1,0,0,1,0,0,4,0,1,1,1
Katablepharidophyta,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0
Lichinomycetes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Coniocybomycetes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spiculogloeomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
